City_Name,District_Name,Area_Name,Latitude,Longitude,Tourist_Place,Hidden_Place,Nearby_Hotel_Name,Hotel_Rating,Hotel_Address,Restaurant_Name,Restaurant_Rating,Restaurant_Address,Tiffin_Center_Name,Tiffin_Address,Lunch_Meals_Hotel,Lunch_Address,Accommodation_Details,Emergency_Service,Emergency_Address,Rating,Description,Final_Rating,Entry_Fee,Hotel
Araku Agency Villages Cluster,Alluri Sitharama Raju,Old Agraharam,15.867662,79.759456,Old Agraharam Cultural Museum,Old Agraharam Weavers Hamlet,The Old Agraharam Suites,4.6,"Near Old Agraharam Main Junction, Araku Agency Villages Cluster",Old Agraharam Family Restaurant,3.6,"Opposite Araku Agency Villages Cluster Botanical Garden, Old Agraharam, Araku Agency Villages Cluster",Namma Old Agraharam Cafe,"Market Road, Old Agraharam, Araku Agency Villages Cluster",Old Agraharam Family Restaurant,"Highway Bypass / Old Agraharam Center, Araku Agency Villages Cluster",The Old Agraharam Suites / Similar Accommodations,Old Agraharam Primary Health Centre,"Main Road, Old Agraharam, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Rama Giri Veedhi,16.00618,79.7132,Rama Giri Veedhi Heritage Temple,Rama Giri Veedhi Ancient Stepwell,Hotel Rama Giri Veedhi Residency,4.0,"Near Rama Giri Veedhi Main Junction, Araku Agency Villages Cluster",Rama Giri Veedhi Flavours,3.8,"Opposite Araku Agency Villages Cluster Lake Promenade, Rama Giri Veedhi, Araku Agency Villages Cluster",Sri Rama Giri Veedhi Tiffin Centre,"Market Road, Rama Giri Veedhi, Araku Agency Villages Cluster",Rama Giri Veedhi Flavours,"Highway Bypass / Rama Giri Veedhi Center, Araku Agency Villages Cluster",Hotel Rama Giri Veedhi Residency / Similar Accommodations,Rama Giri Veedhi Government Hospital,"Main Road, Rama Giri Veedhi, Araku Agency Villages Cluster",4.0,,4.0,Free,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster South Palem,15.923792,79.821053,Araku Agency Villages Cluster South Palem Heritage Temple,Araku Agency Villages Cluster South Palem Old Fort Ruins,Grand Araku Agency Villages Cluster South Palem Lodge,4.2,"Near Araku Agency Villages Cluster South Palem Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Palem Flavours,3.8,"Opposite Araku Agency Villages Cluster Local Shiva Temple, Araku Agency Villages Cluster South Palem, Araku Agency Villages Cluster",Sri Araku Agency Villages Cluster South Palem Cafe,"Market Road, Araku Agency Villages Cluster South Palem, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Palem Flavours,"Highway Bypass / Araku Agency Villages Cluster South Palem Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster South Palem Lodge / Similar Accommodations,Araku Agency Villages Cluster South Palem Government Hospital,"Main Road, Araku Agency Villages Cluster South Palem, Araku Agency Villages Cluster",4.0,,4.0,Free,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster South Veedhi,15.826836,79.674366,Araku Agency Villages Cluster South Veedhi Historic Monument,Araku Agency Villages Cluster South Veedhi Old Fort Ruins,Hotel Araku Agency Villages Cluster South Veedhi Suites,4.0,"Near Araku Agency Villages Cluster South Veedhi Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Veedhi Spice Dhaba,4.1,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Araku Agency Villages Cluster South Veedhi, Araku Agency Villages Cluster",Sri Araku Agency Villages Cluster South Veedhi Tiffin Centre,"Market Road, Araku Agency Villages Cluster South Veedhi, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Veedhi Spice Dhaba,"Highway Bypass / Araku Agency Villages Cluster South Veedhi Center, Araku Agency Villages Cluster",Hotel Araku Agency Villages Cluster South Veedhi Suites / Similar Accommodations,Araku Agency Villages Cluster South Veedhi Fire & Rescue,"Main Road, Araku Agency Villages Cluster South Veedhi, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster East Phase 2,15.816791,79.774699,Araku Agency Villages Cluster East Phase 2 Cultural Museum,Araku Agency Villages Cluster East Phase 2 Old Fort Ruins,Hotel Araku Agency Villages Cluster East Phase 2 Suites,4.8,"Near Araku Agency Villages Cluster East Phase 2 Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Phase 2 Multi-Cuisine,4.1,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Araku Agency Villages Cluster East Phase 2, Araku Agency Villages Cluster",Namma Araku Agency Villages Cluster East Phase 2 Breakfast Corner,"Market Road, Araku Agency Villages Cluster East Phase 2, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Phase 2 Multi-Cuisine,"Highway Bypass / Araku Agency Villages Cluster East Phase 2 Center, Araku Agency Villages Cluster",Hotel Araku Agency Villages Cluster East Phase 2 Suites / Similar Accommodations,Araku Agency Villages Cluster East Phase 2 Primary Health Centre,"Main Road, Araku Agency Villages Cluster East Phase 2, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster East Palem,15.918966,79.651503,Araku Agency Villages Cluster East Palem Central Park,Araku Agency Villages Cluster East Palem Hidden Creek,The Araku Agency Villages Cluster East Palem Suites,4.7,"Near Araku Agency Villages Cluster East Palem Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Palem Spice Dhaba,4.6,"Opposite Araku Agency Villages Cluster Heritage Museum, Araku Agency Villages Cluster East Palem, Araku Agency Villages Cluster",Authentic Araku Agency Villages Cluster East Palem Breakfast Corner,"Market Road, Araku Agency Villages Cluster East Palem, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Palem Spice Dhaba,"Highway Bypass / Araku Agency Villages Cluster East Palem Center, Araku Agency Villages Cluster",The Araku Agency Villages Cluster East Palem Suites / Similar Accommodations,Araku Agency Villages Cluster East Palem Primary Health Centre,"Main Road, Araku Agency Villages Cluster East Palem, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Balaji Agraharam,15.988112,79.690479,Balaji Agraharam Heritage Temple,Balaji Agraharam Hidden Creek,Hotel Balaji Agraharam Suites,4.4,"Near Balaji Agraharam Main Junction, Araku Agency Villages Cluster",Balaji Agraharam Family Restaurant,3.7,"Opposite Araku Agency Villages Cluster Local Shiva Temple, Balaji Agraharam, Araku Agency Villages Cluster",New Balaji Agraharam Cafe,"Market Road, Balaji Agraharam, Araku Agency Villages Cluster",Balaji Agraharam Family Restaurant,"Highway Bypass / Balaji Agraharam Center, Araku Agency Villages Cluster",Hotel Balaji Agraharam Suites / Similar Accommodations,Balaji Agraharam Primary Health Centre,"Main Road, Balaji Agraharam, Araku Agency Villages Cluster",4.0,,4.0,Free,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster North Layout,15.87706,79.737659,Araku Agency Villages Cluster North Layout Promenade,Araku Agency Villages Cluster North Layout Sunset Hill,The Araku Agency Villages Cluster North Layout Lodge,4.3,"Near Araku Agency Villages Cluster North Layout Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster North Layout Spice Dhaba,4.2,"Opposite Araku Agency Villages Cluster Local Shiva Temple, Araku Agency Villages Cluster North Layout, Araku Agency Villages Cluster",Authentic Araku Agency Villages Cluster North Layout Darshini,"Market Road, Araku Agency Villages Cluster North Layout, Araku Agency Villages Cluster",Araku Agency Villages Cluster North Layout Spice Dhaba,"Highway Bypass / Araku Agency Villages Cluster North Layout Center, Araku Agency Villages Cluster",The Araku Agency Villages Cluster North Layout Lodge / Similar Accommodations,Araku Agency Villages Cluster North Layout Primary Health Centre,"Main Road, Araku Agency Villages Cluster North Layout, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster North Enclave,16.009766,79.691071,Araku Agency Villages Cluster North Enclave Central Park,Araku Agency Villages Cluster North Enclave Hidden Creek,Hotel Araku Agency Villages Cluster North Enclave Residency,4.2,"Near Araku Agency Villages Cluster North Enclave Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster North Enclave Flavours,4.4,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Araku Agency Villages Cluster North Enclave, Araku Agency Villages Cluster",Authentic Araku Agency Villages Cluster North Enclave Cafe,"Market Road, Araku Agency Villages Cluster North Enclave, Araku Agency Villages Cluster",Araku Agency Villages Cluster North Enclave Flavours,"Highway Bypass / Araku Agency Villages Cluster North Enclave Center, Araku Agency Villages Cluster",Hotel Araku Agency Villages Cluster North Enclave Residency / Similar Accommodations,Araku Agency Villages Cluster North Enclave Local Police Station,"Main Road, Araku Agency Villages Cluster North Enclave, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster Main Bazar,15.81773,79.645768,Araku Agency Villages Cluster Lake Viewpoint,Araku Agency Villages Cluster Old Fort Ruins,Grand Araku Agency Villages Cluster Residency,4.3,"Near Araku Agency Villages Cluster Main Bazar Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster Biryani House,3.9,"Opposite Araku Agency Villages Cluster Lake Promenade, Araku Agency Villages Cluster Main Bazar, Araku Agency Villages Cluster",Sri Araku Agency Villages Cluster Darshini,"Market Road, Araku Agency Villages Cluster Main Bazar, Araku Agency Villages Cluster",Araku Agency Villages Cluster Biryani House,"Highway Bypass / Araku Agency Villages Cluster Main Bazar Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster Residency / Similar Accommodations,Araku Agency Villages Cluster Primary Health Centre,"Main Road, Araku Agency Villages Cluster Main Bazar, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Gandhi Giri Veedhi,15.971933,79.794183,Gandhi Giri Veedhi Central Park,Gandhi Giri Veedhi Weavers Hamlet,The Gandhi Giri Veedhi Boutique Hotel,4.7,"Near Gandhi Giri Veedhi Main Junction, Araku Agency Villages Cluster",Gandhi Giri Veedhi Biryani House,4.6,"Opposite Araku Agency Villages Cluster Heritage Museum, Gandhi Giri Veedhi, Araku Agency Villages Cluster",New Gandhi Giri Veedhi Darshini,"Market Road, Gandhi Giri Veedhi, Araku Agency Villages Cluster",Gandhi Giri Veedhi Biryani House,"Highway Bypass / Gandhi Giri Veedhi Center, Araku Agency Villages Cluster",The Gandhi Giri Veedhi Boutique Hotel / Similar Accommodations,Gandhi Giri Veedhi Government Hospital,"Main Road, Gandhi Giri Veedhi, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Old Enclave,16.012738,79.661607,Old Enclave Lake Viewpoint,Old Enclave Old Fort Ruins,The Old Enclave Suites,4.5,"Near Old Enclave Main Junction, Araku Agency Villages Cluster",Old Enclave Multi-Cuisine,3.6,"Opposite Araku Agency Villages Cluster Botanical Garden, Old Enclave, Araku Agency Villages Cluster",Sri Old Enclave Tiffin Centre,"Market Road, Old Enclave, Araku Agency Villages Cluster",Old Enclave Multi-Cuisine,"Highway Bypass / Old Enclave Center, Araku Agency Villages Cluster",The Old Enclave Suites / Similar Accommodations,Old Enclave Fire & Rescue,"Main Road, Old Enclave, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster South Hills,15.971486,79.666244,Araku Agency Villages Cluster South Hills Historic Monument,Araku Agency Villages Cluster South Hills Weavers Hamlet,Grand Araku Agency Villages Cluster South Hills Suites,4.2,"Near Araku Agency Villages Cluster South Hills Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Hills Family Restaurant,3.9,"Opposite Araku Agency Villages Cluster Botanical Garden, Araku Agency Villages Cluster South Hills, Araku Agency Villages Cluster",Sri Araku Agency Villages Cluster South Hills Cafe,"Market Road, Araku Agency Villages Cluster South Hills, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Hills Family Restaurant,"Highway Bypass / Araku Agency Villages Cluster South Hills Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster South Hills Suites / Similar Accommodations,Araku Agency Villages Cluster South Hills Government Hospital,"Main Road, Araku Agency Villages Cluster South Hills, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,NGO Colony,15.855008,79.722394,NGO Colony Central Park,NGO Colony Hidden Creek,The NGO Colony Lodge,4.8,"Near NGO Colony Main Junction, Araku Agency Villages Cluster",NGO Colony Flavours,3.9,"Opposite Araku Agency Villages Cluster Heritage Museum, NGO Colony, Araku Agency Villages Cluster",New NGO Colony Tiffin Centre,"Market Road, NGO Colony, Araku Agency Villages Cluster",NGO Colony Flavours,"Highway Bypass / NGO Colony Center, Araku Agency Villages Cluster",The NGO Colony Lodge / Similar Accommodations,NGO Colony Local Police Station,"Main Road, NGO Colony, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster South Phase 1,16.007158,79.706299,Araku Agency Villages Cluster South Phase 1 Central Park,Araku Agency Villages Cluster South Phase 1 Old Fort Ruins,Grand Araku Agency Villages Cluster South Phase 1 Residency,4.9,"Near Araku Agency Villages Cluster South Phase 1 Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Phase 1 Multi-Cuisine,4.5,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Araku Agency Villages Cluster South Phase 1, Araku Agency Villages Cluster",Namma Araku Agency Villages Cluster South Phase 1 Breakfast Corner,"Market Road, Araku Agency Villages Cluster South Phase 1, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Phase 1 Multi-Cuisine,"Highway Bypass / Araku Agency Villages Cluster South Phase 1 Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster South Phase 1 Residency / Similar Accommodations,Araku Agency Villages Cluster South Phase 1 Fire & Rescue,"Main Road, Araku Agency Villages Cluster South Phase 1, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Gandhi Ram Phase 2,15.923802,79.704837,Gandhi Ram Phase 2 Central Park,Gandhi Ram Phase 2 Ancient Stepwell,Grand Gandhi Ram Phase 2 Boutique Hotel,4.0,"Near Gandhi Ram Phase 2 Main Junction, Araku Agency Villages Cluster",Gandhi Ram Phase 2 Flavours,4.2,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Gandhi Ram Phase 2, Araku Agency Villages Cluster",Namma Gandhi Ram Phase 2 Darshini,"Market Road, Gandhi Ram Phase 2, Araku Agency Villages Cluster",Gandhi Ram Phase 2 Flavours,"Highway Bypass / Gandhi Ram Phase 2 Center, Araku Agency Villages Cluster",Grand Gandhi Ram Phase 2 Boutique Hotel / Similar Accommodations,Gandhi Ram Phase 2 Government Hospital,"Main Road, Gandhi Ram Phase 2, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster South Nagar,15.910418,79.761542,Araku Agency Villages Cluster South Nagar Heritage Temple,Araku Agency Villages Cluster South Nagar Hidden Creek,Grand Araku Agency Villages Cluster South Nagar Lodge,4.2,"Near Araku Agency Villages Cluster South Nagar Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Nagar Family Restaurant,3.5,"Opposite Araku Agency Villages Cluster Lake Promenade, Araku Agency Villages Cluster South Nagar, Araku Agency Villages Cluster",Authentic Araku Agency Villages Cluster South Nagar Tiffin Centre,"Market Road, Araku Agency Villages Cluster South Nagar, Araku Agency Villages Cluster",Araku Agency Villages Cluster South Nagar Family Restaurant,"Highway Bypass / Araku Agency Villages Cluster South Nagar Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster South Nagar Lodge / Similar Accommodations,Araku Agency Villages Cluster South Nagar Primary Health Centre,"Main Road, Araku Agency Villages Cluster South Nagar, Araku Agency Villages Cluster",4.0,,4.0,Free,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster East Veedhi,15.933739,79.690288,Araku Agency Villages Cluster East Veedhi Heritage Temple,Araku Agency Villages Cluster East Veedhi Sunset Hill,Hotel Araku Agency Villages Cluster East Veedhi Suites,3.9,"Near Araku Agency Villages Cluster East Veedhi Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Veedhi Flavours,4.3,"Opposite Araku Agency Villages Cluster Heritage Museum, Araku Agency Villages Cluster East Veedhi, Araku Agency Villages Cluster",Namma Araku Agency Villages Cluster East Veedhi Breakfast Corner,"Market Road, Araku Agency Villages Cluster East Veedhi, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Veedhi Flavours,"Highway Bypass / Araku Agency Villages Cluster East Veedhi Center, Araku Agency Villages Cluster",Hotel Araku Agency Villages Cluster East Veedhi Suites / Similar Accommodations,Araku Agency Villages Cluster East Veedhi Primary Health Centre,"Main Road, Araku Agency Villages Cluster East Veedhi, Araku Agency Villages Cluster",4.0,,4.0,Free,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Lakshmi Gardens,16.006629,79.761396,Lakshmi Gardens Historic Monument,Lakshmi Gardens Weavers Hamlet,Hotel Lakshmi Gardens Inn,4.2,"Near Lakshmi Gardens Main Junction, Araku Agency Villages Cluster",Lakshmi Gardens Biryani House,4.0,"Opposite Araku Agency Villages Cluster City Central Park, Lakshmi Gardens, Araku Agency Villages Cluster",Authentic Lakshmi Gardens Breakfast Corner,"Market Road, Lakshmi Gardens, Araku Agency Villages Cluster",Lakshmi Gardens Biryani House,"Highway Bypass / Lakshmi Gardens Center, Araku Agency Villages Cluster",Hotel Lakshmi Gardens Inn / Similar Accommodations,Lakshmi Gardens Local Police Station,"Main Road, Lakshmi Gardens, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster RTC Bus Stand Area,15.947654,79.758584,Araku Agency Villages Cluster Promenade,Araku Agency Villages Cluster Weavers Hamlet,Hotel Araku Agency Villages Cluster Boutique Hotel,4.3,"Near Araku Agency Villages Cluster RTC Bus Stand Area Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster Spice Dhaba,4.7,"Opposite Araku Agency Villages Cluster Local Shiva Temple, Araku Agency Villages Cluster RTC Bus Stand Area, Araku Agency Villages Cluster",New Araku Agency Villages Cluster Tiffin Centre,"Market Road, Araku Agency Villages Cluster RTC Bus Stand Area, Araku Agency Villages Cluster",Araku Agency Villages Cluster Spice Dhaba,"Highway Bypass / Araku Agency Villages Cluster RTC Bus Stand Area Center, Araku Agency Villages Cluster",Hotel Araku Agency Villages Cluster Boutique Hotel / Similar Accommodations,Araku Agency Villages Cluster Government Hospital,"Main Road, Araku Agency Villages Cluster RTC Bus Stand Area, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Gandhi Hills,15.93628,79.802116,Gandhi Hills Central Park,Gandhi Hills Old Fort Ruins,The Gandhi Hills Residency,3.8,"Near Gandhi Hills Main Junction, Araku Agency Villages Cluster",Gandhi Hills Multi-Cuisine,4.5,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Gandhi Hills, Araku Agency Villages Cluster",Authentic Gandhi Hills Tiffin Centre,"Market Road, Gandhi Hills, Araku Agency Villages Cluster",Gandhi Hills Multi-Cuisine,"Highway Bypass / Gandhi Hills Center, Araku Agency Villages Cluster",The Gandhi Hills Residency / Similar Accommodations,Gandhi Hills Fire & Rescue,"Main Road, Gandhi Hills, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Maruthi Giri Extension,15.836507,79.810251,Maruthi Giri Extension Central Park,Maruthi Giri Extension Old Fort Ruins,Hotel Maruthi Giri Extension Boutique Hotel,4.4,"Near Maruthi Giri Extension Main Junction, Araku Agency Villages Cluster",Maruthi Giri Extension Multi-Cuisine,3.6,"Opposite Araku Agency Villages Cluster Lake Promenade, Maruthi Giri Extension, Araku Agency Villages Cluster",Authentic Maruthi Giri Extension Tiffin Centre,"Market Road, Maruthi Giri Extension, Araku Agency Villages Cluster",Maruthi Giri Extension Multi-Cuisine,"Highway Bypass / Maruthi Giri Extension Center, Araku Agency Villages Cluster",Hotel Maruthi Giri Extension Boutique Hotel / Similar Accommodations,Maruthi Giri Extension Fire & Rescue,"Main Road, Maruthi Giri Extension, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster East Hills,15.987796,79.776836,Araku Agency Villages Cluster East Hills Historic Monument,Araku Agency Villages Cluster East Hills Old Fort Ruins,Grand Araku Agency Villages Cluster East Hills Inn,3.9,"Near Araku Agency Villages Cluster East Hills Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Hills Family Restaurant,3.5,"Opposite Araku Agency Villages Cluster Lake Promenade, Araku Agency Villages Cluster East Hills, Araku Agency Villages Cluster",Authentic Araku Agency Villages Cluster East Hills Darshini,"Market Road, Araku Agency Villages Cluster East Hills, Araku Agency Villages Cluster",Araku Agency Villages Cluster East Hills Family Restaurant,"Highway Bypass / Araku Agency Villages Cluster East Hills Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster East Hills Inn / Similar Accommodations,Araku Agency Villages Cluster East Hills Local Police Station,"Main Road, Araku Agency Villages Cluster East Hills, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Nehru Colony,15.951856,79.729804,Nehru Colony Cultural Museum,Nehru Colony Ancient Stepwell,The Nehru Colony Residency,3.9,"Near Nehru Colony Main Junction, Araku Agency Villages Cluster",Nehru Colony Multi-Cuisine,3.8,"Opposite Araku Agency Villages Cluster Botanical Garden, Nehru Colony, Araku Agency Villages Cluster",Namma Nehru Colony Breakfast Corner,"Market Road, Nehru Colony, Araku Agency Villages Cluster",Nehru Colony Multi-Cuisine,"Highway Bypass / Nehru Colony Center, Araku Agency Villages Cluster",The Nehru Colony Residency / Similar Accommodations,Nehru Colony Primary Health Centre,"Main Road, Nehru Colony, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Maruthi Puram Colony,15.985853,79.647882,Maruthi Puram Colony Promenade,Maruthi Puram Colony Old Fort Ruins,Hotel Maruthi Puram Colony Boutique Hotel,4.1,"Near Maruthi Puram Colony Main Junction, Araku Agency Villages Cluster",Maruthi Puram Colony Multi-Cuisine,3.6,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Maruthi Puram Colony, Araku Agency Villages Cluster",Sri Maruthi Puram Colony Cafe,"Market Road, Maruthi Puram Colony, Araku Agency Villages Cluster",Maruthi Puram Colony Multi-Cuisine,"Highway Bypass / Maruthi Puram Colony Center, Araku Agency Villages Cluster",Hotel Maruthi Puram Colony Boutique Hotel / Similar Accommodations,Maruthi Puram Colony Local Police Station,"Main Road, Maruthi Puram Colony, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Araku Agency Villages Cluster West Palem,15.968835,79.736655,Araku Agency Villages Cluster West Palem Central Park,Araku Agency Villages Cluster West Palem Ancient Stepwell,Grand Araku Agency Villages Cluster West Palem Inn,3.9,"Near Araku Agency Villages Cluster West Palem Main Junction, Araku Agency Villages Cluster",Araku Agency Villages Cluster West Palem Family Restaurant,3.6,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Araku Agency Villages Cluster West Palem, Araku Agency Villages Cluster",New Araku Agency Villages Cluster West Palem Cafe,"Market Road, Araku Agency Villages Cluster West Palem, Araku Agency Villages Cluster",Araku Agency Villages Cluster West Palem Family Restaurant,"Highway Bypass / Araku Agency Villages Cluster West Palem Center, Araku Agency Villages Cluster",Grand Araku Agency Villages Cluster West Palem Inn / Similar Accommodations,Araku Agency Villages Cluster West Palem Government Hospital,"Main Road, Araku Agency Villages Cluster West Palem, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Srinivasa Krishna Enclave,15.813856,79.694911,Srinivasa Krishna Enclave Lake Viewpoint,Srinivasa Krishna Enclave Old Fort Ruins,Grand Srinivasa Krishna Enclave Boutique Hotel,4.8,"Near Srinivasa Krishna Enclave Main Junction, Araku Agency Villages Cluster",Srinivasa Krishna Enclave Multi-Cuisine,3.7,"Opposite Araku Agency Villages Cluster City Central Park, Srinivasa Krishna Enclave, Araku Agency Villages Cluster",Authentic Srinivasa Krishna Enclave Darshini,"Market Road, Srinivasa Krishna Enclave, Araku Agency Villages Cluster",Srinivasa Krishna Enclave Multi-Cuisine,"Highway Bypass / Srinivasa Krishna Enclave Center, Araku Agency Villages Cluster",Grand Srinivasa Krishna Enclave Boutique Hotel / Similar Accommodations,Srinivasa Krishna Enclave Fire & Rescue,"Main Road, Srinivasa Krishna Enclave, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Agency Villages Cluster,Alluri Sitharama Raju,Santhi Extension,15.899977,79.74396,Santhi Extension Central Park,Santhi Extension Old Fort Ruins,The Santhi Extension Boutique Hotel,4.8,"Near Santhi Extension Main Junction, Araku Agency Villages Cluster",Santhi Extension Family Restaurant,3.6,"Opposite Araku Agency Villages Cluster Historic Fort Ruins, Santhi Extension, Araku Agency Villages Cluster",Namma Santhi Extension Breakfast Corner,"Market Road, Santhi Extension, Araku Agency Villages Cluster",Santhi Extension Family Restaurant,"Highway Bypass / Santhi Extension Center, Araku Agency Villages Cluster",The Santhi Extension Boutique Hotel / Similar Accommodations,Santhi Extension Fire & Rescue,"Main Road, Santhi Extension, Araku Agency Villages Cluster",4.0,,4.0,,
Araku Valley,Alluri Sitharama Raju,Araku Valley North Gardens,15.978563,79.679887,Araku Valley North Gardens Central Park,Araku Valley North Gardens Weavers Hamlet,The Araku Valley North Gardens Residency,3.9,"Near Araku Valley North Gardens Main Junction, Araku Valley",Araku Valley North Gardens Family Restaurant,4.3,"Opposite Araku Valley Botanical Garden, Araku Valley North Gardens, Araku Valley",Namma Araku Valley North Gardens Darshini,"Market Road, Araku Valley North Gardens, Araku Valley",Araku Valley North Gardens Family Restaurant,"Highway Bypass / Araku Valley North Gardens Center, Araku Valley",The Araku Valley North Gardens Residency / Similar Accommodations,Araku Valley North Gardens Fire & Rescue,"Main Road, Araku Valley North Gardens, Araku Valley",4.0,,4.0,,
Araku Valley,Alluri Sitharama Raju,Araku Valley East Phase 2,15.929138,79.808607,Araku Valley East Phase 2 Heritage Temple,Araku Valley East Phase 2 Ancient Stepwell,Grand Araku Valley East Phase 2 Residency,4.9,"Near Araku Valley East Phase 2 Main Junction, Araku Valley",Araku Valley East Phase 2 Family Restaurant,4.3,"Opposite Araku Valley Heritage Museum, Araku Valley East Phase 2, Araku Valley",Namma Araku Valley East Phase 2 Tiffin Centre,"Market Road, Araku Valley East Phase 2, Araku Valley",Araku Valley East Phase 2 Family Restaurant,"Highway Bypass / Araku Valley East Phase 2 Center, Araku Valley",Grand Araku Valley East Phase 2 Residency / Similar Accommodations,Araku Valley East Phase 2 Government Hospital,"Main Road, Araku Valley East Phase 2, Araku Valley",4.0,,4.0,Free,
