City_Name,District_Name,Areas
Gurla,Vizianagaram,"Gurla Main Bazar, Gurla RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Gurla Railway Station Area, NGO Colony, Kothapeta, Gurla Main Road, Gurla Police Station Road"
Ramabhadrapuram,Vizianagaram,"Ramabhadrapuram Main Bazar, Ramabhadrapuram RTC Bus Stand Area, Gandhi Nagar, Ramabhadrapuram Police Station Road, Ramabhadrapuram Main Road, NGO Colony, Kothapeta, Revenue Colony, Santhi Nagar, Maruthi Nagar"
Badangi,Vizianagaram,"Badangi Main Bazar, Badangi RTC Bus Stand Area, Badangi Railway Station Area, Bhavani Nagar, Kothapeta, NGO Colony, Santhi Nagar, Badangi Main Road, Sai Nagar, Revenue Colony, Badangi Police Station Road"
Terlam,Vizianagaram,"Terlam Main Bazar, Terlam RTC Bus Stand Area, Terlam Railway Station Area, Terlam Main Road, Sai Nagar, NGO Colony, Maruthi Nagar, Santhi Nagar, Kothapeta"
Merakamudidam,Vizianagaram,"Merakamudidam Main Bazar, Merakamudidam RTC Bus Stand Area, Santhi Nagar, Revenue Colony, Bhavani Nagar, Gandhi Nagar"
Vepada,Vizianagaram,"Vepada Main Bazar, Vepada RTC Bus Stand Area, Bhavani Nagar, Gandhi Nagar, Vepada Railway Station Area, Kothapeta, NGO Colony"
Lakkavarapukota,Vizianagaram,"Lakkavarapukota Main Bazar, Lakkavarapukota RTC Bus Stand Area, NGO Colony, Sai Nagar, Lakkavarapukota Railway Station Area, Gandhi Nagar, Santhi Nagar, Maruthi Nagar, Bhavani Nagar"
Seethanagaram,Vizianagaram,"Seethanagaram Main Bazar, Seethanagaram RTC Bus Stand Area, Seethanagaram Railway Station Area, Seethanagaram Main Road, Kothapeta, Revenue Colony, Maruthi Nagar"
Balijipeta,Vizianagaram,"Balijipeta Main Bazar, Balijipeta RTC Bus Stand Area, Balijipeta Railway Station Area, Santhi Nagar, Bhavani Nagar, Balijipeta Police Station Road, Maruthi Nagar, NGO Colony, Sai Nagar"
Bapatla,Bapatla,"Bapatla Main Bazar, Bapatla RTC Bus Stand Area, Kothapeta, Bhavani Nagar, Maruthi Nagar, Sai Nagar, NGO Colony, Bapatla Police Station Road, Gandhi Nagar"
Chirala,Bapatla,"Chirala Main Bazar, Chirala RTC Bus Stand Area, Kothapeta, Santhi Nagar, Sai Nagar, Gandhi Nagar, NGO Colony, Chirala Police Station Road"
Ponnur,Bapatla,"Ponnur Main Bazar, Ponnur RTC Bus Stand Area, Ponnur Main Road, NGO Colony, Santhi Nagar, Bhavani Nagar, Sai Nagar, Revenue Colony, Gandhi Nagar, Ponnur Railway Station Area, Maruthi Nagar"
Repalle,Bapatla,"Repalle Main Bazar, Repalle RTC Bus Stand Area, Revenue Colony, Maruthi Nagar, Gandhi Nagar, Repalle Police Station Road, Repalle Main Road, NGO Colony, Repalle Railway Station Area"
Nizampatnam,Bapatla,"Nizampatnam Main Bazar, Nizampatnam RTC Bus Stand Area, Revenue Colony, Maruthi Nagar, Nizampatnam Railway Station Area, Sai Nagar, Gandhi Nagar, Kothapeta"
Karlapalem,Bapatla,"Karlapalem Main Bazar, Karlapalem RTC Bus Stand Area, Revenue Colony, Kothapeta, Karlapalem Police Station Road, Karlapalem Railway Station Area, Santhi Nagar"
Pittalavanipalem,Bapatla,"Pittalavanipalem Main Bazar, Pittalavanipalem RTC Bus Stand Area, Pittalavanipalem Railway Station Area, Revenue Colony, Kothapeta, Gandhi Nagar, Pittalavanipalem Police Station Road, Sai Nagar, NGO Colony"
Cherukupalli,Bapatla,"Cherukupalli Main Bazar, Cherukupalli RTC Bus Stand Area, Cherukupalli Police Station Road, Revenue Colony, Cherukupalli Main Road, Santhi Nagar, Cherukupalli Railway Station Area, Sai Nagar, Kothapeta, Gandhi Nagar, Maruthi Nagar"
Nagaram,Bapatla,"Nagaram Main Bazar, Nagaram RTC Bus Stand Area, Bhavani Nagar, Kothapeta, NGO Colony, Maruthi Nagar, Nagaram Railway Station Area, Sai Nagar, Revenue Colony, Gandhi Nagar"
Kollur,Bapatla,"Kollur Main Bazar, Kollur RTC Bus Stand Area, Revenue Colony, Santhi Nagar, Maruthi Nagar, Kollur Main Road, Gandhi Nagar"
Tsundur,Bapatla,"Tsundur Main Bazar, Tsundur RTC Bus Stand Area, Tsundur Main Road, Maruthi Nagar, Santhi Nagar, Sai Nagar, Tsundur Police Station Road, Revenue Colony, NGO Colony, Gandhi Nagar"
Amruthalur,Bapatla,"Amruthalur Main Bazar, Amruthalur RTC Bus Stand Area, Amruthalur Main Road, Sai Nagar, Maruthi Nagar, Kothapeta, Gandhi Nagar, Amruthalur Police Station Road, NGO Colony"
Vemuru,Bapatla,"Vemuru Main Bazar, Vemuru RTC Bus Stand Area, NGO Colony, Vemuru Main Road, Vemuru Railway Station Area, Maruthi Nagar, Sai Nagar, Santhi Nagar, Bhavani Nagar"
Bhattiprolu,Bapatla,"Bhattiprolu Main Bazar, Bhattiprolu RTC Bus Stand Area, Santhi Nagar, NGO Colony, Bhattiprolu Railway Station Area, Bhattiprolu Police Station Road, Gandhi Nagar, Bhattiprolu Main Road, Kothapeta"
Karamchedu,Bapatla,"Karamchedu Main Bazar, Karamchedu RTC Bus Stand Area, Gandhi Nagar, NGO Colony, Maruthi Nagar, Bhavani Nagar, Kothapeta, Sai Nagar"
Inkollu,Bapatla,"Inkollu Main Bazar, Inkollu RTC Bus Stand Area, Revenue Colony, Inkollu Police Station Road, Sai Nagar, Kothapeta, NGO Colony, Bhavani Nagar, Inkollu Railway Station Area, Maruthi Nagar"
Martur,Bapatla,"Martur Main Bazar, Martur RTC Bus Stand Area, Revenue Colony, Kothapeta, NGO Colony, Bhavani Nagar"
Vetapalem,Bapatla,"Vetapalem Main Bazar, Vetapalem RTC Bus Stand Area, Santhi Nagar, Bhavani Nagar, Kothapeta, Gandhi Nagar, NGO Colony, Vetapalem Railway Station Area, Maruthi Nagar, Revenue Colony"
Perala,Bapatla,"Perala Main Bazar, Perala RTC Bus Stand Area, Gandhi Nagar, Perala Main Road, Santhi Nagar, Maruthi Nagar, Perala Railway Station Area, Bhavani Nagar, Kothapeta"
Bapatla Rural,Bapatla,"Bapatla Rural Main Bazar, Bapatla Rural RTC Bus Stand Area, NGO Colony, Santhi Nagar, Maruthi Nagar, Gandhi Nagar, Bapatla Rural Police Station Road, Bapatla Rural Main Road"
Chirala Rural,Bapatla,"Chirala Rural Main Bazar, Chirala Rural RTC Bus Stand Area, Santhi Nagar, Kothapeta, Chirala Rural Police Station Road, Chirala Rural Main Road, Maruthi Nagar, NGO Colony, Bhavani Nagar, Sai Nagar"
Repalle Rural,Bapatla,"Repalle Rural Main Bazar, Repalle Rural RTC Bus Stand Area, Sai Nagar, Bhavani Nagar, Maruthi Nagar, Santhi Nagar, Kothapeta, Repalle Rural Railway Station Area, Repalle Rural Main Road"
Ponnur Rural,Bapatla,"Ponnur Rural Main Bazar, Ponnur Rural RTC Bus Stand Area, Bhavani Nagar, Kothapeta, Revenue Colony, Santhi Nagar, Gandhi Nagar, Ponnur Rural Railway Station Area, Ponnur Rural Main Road, Sai Nagar"
Amalapuram,Konaseema,"Amalapuram Main Bazar, Amalapuram RTC Bus Stand Area, Amalapuram Railway Station Area, Maruthi Nagar, Gandhi Nagar, NGO Colony, Bhavani Nagar"
Ramachandrapuram,Konaseema,"Ramachandrapuram Main Bazar, Ramachandrapuram RTC Bus Stand Area, Santhi Nagar, Ramachandrapuram Main Road, Ramachandrapuram Railway Station Area, Sai Nagar, Maruthi Nagar"
Mandapeta,Konaseema,"Mandapeta Main Bazar, Mandapeta RTC Bus Stand Area, Sai Nagar, NGO Colony, Bhavani Nagar, Maruthi Nagar"
Mummidivaram,Konaseema,"Mummidivaram Main Bazar, Mummidivaram RTC Bus Stand Area, Kothapeta, Santhi Nagar, Mummidivaram Railway Station Area, Sai Nagar, NGO Colony, Mummidivaram Police Station Road, Gandhi Nagar"
Razole,Konaseema,"Razole Main Bazar, Razole RTC Bus Stand Area, Maruthi Nagar, Razole Railway Station Area, Sai Nagar, Revenue Colony, Santhi Nagar, NGO Colony"
P Gannavaram,Konaseema,"P Gannavaram Main Bazar, P Gannavaram RTC Bus Stand Area, NGO Colony, Bhavani Nagar, Maruthi Nagar, Santhi Nagar, Revenue Colony, P Gannavaram Main Road, Kothapeta, P Gannavaram Railway Station Area"
Ambajipeta,Konaseema,"Ambajipeta Main Bazar, Ambajipeta RTC Bus Stand Area, Santhi Nagar, Maruthi Nagar, Revenue Colony, Bhavani Nagar, Ambajipeta Railway Station Area, Kothapeta"
Ainavilli,Konaseema,"Ainavilli Main Bazar, Ainavilli RTC Bus Stand Area, Ainavilli Police Station Road, Gandhi Nagar, Santhi Nagar, Revenue Colony, Kothapeta, Sai Nagar"
Kothapeta,Konaseema,"Kothapeta Main Bazar, Kothapeta RTC Bus Stand Area, Maruthi Nagar, Kothapeta Main Road, Santhi Nagar, Kothapeta Railway Station Area, Gandhi Nagar, Bhavani Nagar"
Atreyapuram,Konaseema,"Atreyapuram Main Bazar, Atreyapuram RTC Bus Stand Area, Atreyapuram Main Road, NGO Colony, Maruthi Nagar, Bhavani Nagar, Atreyapuram Police Station Road, Atreyapuram Railway Station Area"
Katrenikona,Konaseema,"Katrenikona Main Bazar, Katrenikona RTC Bus Stand Area, Katrenikona Railway Station Area, Santhi Nagar, NGO Colony, Bhavani Nagar, Katrenikona Police Station Road, Kothapeta, Gandhi Nagar, Revenue Colony, Katrenikona Main Road"
Allavaram,Konaseema,"Allavaram Main Bazar, Allavaram RTC Bus Stand Area, Bhavani Nagar, Gandhi Nagar, Santhi Nagar, NGO Colony, Kothapeta, Allavaram Main Road, Allavaram Police Station Road, Allavaram Railway Station Area"
I Polavaram,Konaseema,"I Polavaram Main Bazar, I Polavaram RTC Bus Stand Area, Gandhi Nagar, I Polavaram Police Station Road, Bhavani Nagar, Sai Nagar, I Polavaram Main Road, Kothapeta, Maruthi Nagar, I Polavaram Railway Station Area, Revenue Colony"
Uppalaguptam,Konaseema,"Uppalaguptam Main Bazar, Uppalaguptam RTC Bus Stand Area, Maruthi Nagar, Santhi Nagar, Revenue Colony, Uppalaguptam Main Road, Uppalaguptam Railway Station Area, Bhavani Nagar, NGO Colony, Uppalaguptam Police Station Road"
Mamidikuduru,Konaseema,"Mamidikuduru Main Bazar, Mamidikuduru RTC Bus Stand Area, Mamidikuduru Police Station Road, Maruthi Nagar, Kothapeta, Revenue Colony, Mamidikuduru Main Road, Gandhi Nagar, Santhi Nagar, Sai Nagar, Mamidikuduru Railway Station Area"
Malikipuram,Konaseema,"Malikipuram Main Bazar, Malikipuram RTC Bus Stand Area, Gandhi Nagar, Malikipuram Railway Station Area, Kothapeta, Malikipuram Main Road, Sai Nagar, Bhavani Nagar, Maruthi Nagar, Revenue Colony"
Sakhinetipalli,Konaseema,"Sakhinetipalli Main Bazar, Sakhinetipalli RTC Bus Stand Area, Sakhinetipalli Railway Station Area, Santhi Nagar, Sakhinetipalli Police Station Road, Bhavani Nagar"
Vadapalli,Konaseema,"Vadapalli Main Bazar, Vadapalli RTC Bus Stand Area, Kothapeta, Maruthi Nagar, Sai Nagar, Bhavani Nagar, Vadapalli Main Road, Vadapalli Police Station Road, NGO Colony, Santhi Nagar"
Antarvedi,Konaseema,"Antarvedi Main Bazar, Antarvedi RTC Bus Stand Area, Sai Nagar, Gandhi Nagar, Revenue Colony, Maruthi Nagar, Antarvedi Main Road, NGO Colony, Santhi Nagar"
Muramalla,Konaseema,"Muramalla Main Bazar, Muramalla RTC Bus Stand Area, Sai Nagar, Muramalla Railway Station Area, Kothapeta, Bhavani Nagar"
Appanapalli,Konaseema,"Appanapalli Main Bazar, Appanapalli RTC Bus Stand Area, Appanapalli Main Road, Maruthi Nagar, Sai Nagar, Kothapeta, Appanapalli Railway Station Area, Gandhi Nagar, Appanapalli Police Station Road"
Yedurulanka,Konaseema,"Yedurulanka Main Bazar, Yedurulanka RTC Bus Stand Area, Revenue Colony, Yedurulanka Police Station Road, Yedurulanka Main Road, Santhi Nagar, Gandhi Nagar"
Pasarlapudi,Konaseema,"Pasarlapudi Main Bazar, Pasarlapudi RTC Bus Stand Area, Kothapeta, Pasarlapudi Police Station Road, Revenue Colony, Bhavani Nagar, Pasarlapudi Main Road, NGO Colony, Gandhi Nagar"
Lolla,Konaseema,"Lolla Main Bazar, Lolla RTC Bus Stand Area, Revenue Colony, Lolla Police Station Road, Lolla Main Road, Bhavani Nagar, Gandhi Nagar"
Gangalakurru,Konaseema,"Gangalakurru Main Bazar, Gangalakurru RTC Bus Stand Area, Sai Nagar, Revenue Colony, Gangalakurru Railway Station Area, Gangalakurru Main Road, Kothapeta, NGO Colony, Maruthi Nagar, Bhavani Nagar, Gandhi Nagar"
Pedapatnam,Konaseema,"Pedapatnam Main Bazar, Pedapatnam RTC Bus Stand Area, Pedapatnam Railway Station Area, Revenue Colony, Santhi Nagar, Gandhi Nagar"
Rajamahendravaram,East Godavari,"Danavaipeta, Prakash Nagar, T Nagar, Jampeta, Innespeta, Aryapuram, Syamala Nagar, Alcot Gardens, V.L. Puram, Mallina Nagar, Bommuru, Lalacheruvu, Morampudi, Hukumpeta, Diwancheruvu, Konthamuru, Katheru, Pidimgoyya"
Kovvur,East Godavari,"Kovvur Main Bazar, Kovvur RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Revenue Colony, Kovvur Main Road, Sai Nagar, Kovvur Railway Station Area"
Nidadavole,East Godavari,"Nidadavole Main Bazar, Nidadavole RTC Bus Stand Area, Santhi Nagar, Bhavani Nagar, NGO Colony, Sai Nagar, Revenue Colony, Nidadavole Police Station Road, Gandhi Nagar, Nidadavole Railway Station Area"
Rajanagaram,East Godavari,"Rajanagaram Main Bazar, Rajanagaram RTC Bus Stand Area, Maruthi Nagar, Santhi Nagar, Sai Nagar, Gandhi Nagar, Revenue Colony, Rajanagaram Main Road, Rajanagaram Railway Station Area"
Dowleswaram,East Godavari,"Dowleswaram Main Bazar, Dowleswaram RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Santhi Nagar, Kothapeta, Dowleswaram Police Station Road, Dowleswaram Railway Station Area, Revenue Colony, NGO Colony"
Korukonda,East Godavari,"Korukonda Main Bazar, Korukonda RTC Bus Stand Area, Korukonda Police Station Road, Gandhi Nagar, NGO Colony, Sai Nagar"
Seethanagaram,East Godavari,"Seethanagaram Main Bazar, Seethanagaram RTC Bus Stand Area, Seethanagaram Railway Station Area, Seethanagaram Main Road, Kothapeta, Revenue Colony, Maruthi Nagar"
Gokavaram,East Godavari,"Gokavaram Main Bazar, Gokavaram RTC Bus Stand Area, Gandhi Nagar, NGO Colony, Revenue Colony, Maruthi Nagar, Gokavaram Railway Station Area, Sai Nagar"
Rampachodavaram,East Godavari,"Rampachodavaram Main Bazar, Rampachodavaram RTC Bus Stand Area, NGO Colony, Sai Nagar, Revenue Colony, Bhavani Nagar"
Devipatnam,East Godavari,"Devipatnam Main Bazar, Devipatnam RTC Bus Stand Area, Maruthi Nagar, Sai Nagar, Devipatnam Police Station Road, Bhavani Nagar, Santhi Nagar, Kothapeta"
Maredumilli,East Godavari,"Maredumilli Main Bazar, Maredumilli RTC Bus Stand Area, Maredumilli Main Road, NGO Colony, Santhi Nagar, Gandhi Nagar, Sai Nagar, Maredumilli Railway Station Area"
Addateegala,East Godavari,"Addateegala Main Bazar, Addateegala RTC Bus Stand Area, NGO Colony, Santhi Nagar, Revenue Colony, Maruthi Nagar, Addateegala Railway Station Area, Gandhi Nagar, Addateegala Main Road, Addateegala Police Station Road, Sai Nagar"
Rajavommangi,East Godavari,"Rajavommangi Main Bazar, Rajavommangi RTC Bus Stand Area, Maruthi Nagar, Revenue Colony, Rajavommangi Police Station Road, Santhi Nagar, Rajavommangi Railway Station Area, Bhavani Nagar"
Yeleswaram,East Godavari,"Yeleswaram Main Bazar, Yeleswaram RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Gandhi Nagar, Bhavani Nagar, Revenue Colony, NGO Colony"
Prathipadu,East Godavari,"Prathipadu Main Bazar, Prathipadu RTC Bus Stand Area, Santhi Nagar, Gandhi Nagar, Prathipadu Police Station Road, Maruthi Nagar"
Samalkot,East Godavari,"Samalkot Main Bazar, Samalkot RTC Bus Stand Area, Santhi Nagar, Sai Nagar, Samalkot Police Station Road, Samalkot Railway Station Area, NGO Colony, Samalkot Main Road"
Peddapuram,East Godavari,"Peddapuram Main Bazar, Peddapuram RTC Bus Stand Area, Revenue Colony, Peddapuram Police Station Road, Bhavani Nagar, Sai Nagar, Santhi Nagar, NGO Colony"
Kirlampudi,East Godavari,"Kirlampudi Main Bazar, Kirlampudi RTC Bus Stand Area, Santhi Nagar, Revenue Colony, Kothapeta, Gandhi Nagar, Kirlampudi Railway Station Area, Bhavani Nagar, Kirlampudi Main Road, Sai Nagar, Kirlampudi Police Station Road"
Jaggampeta,East Godavari,"Jaggampeta Main Bazar, Jaggampeta RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Santhi Nagar, Jaggampeta Railway Station Area, Kothapeta, Jaggampeta Police Station Road, Gandhi Nagar"
Gollaprolu,East Godavari,"Gollaprolu Main Bazar, Gollaprolu RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Gollaprolu Main Road, Kothapeta, Gollaprolu Railway Station Area, Santhi Nagar, Revenue Colony, NGO Colony, Sai Nagar"
Kotauratla,East Godavari,"Kotauratla Main Bazar, Kotauratla RTC Bus Stand Area, Kotauratla Main Road, Sai Nagar, Santhi Nagar, Maruthi Nagar, NGO Colony"
Narasipatnam,East Godavari,"Narasipatnam Main Bazar, Narasipatnam RTC Bus Stand Area, Narasipatnam Police Station Road, Gandhi Nagar, Revenue Colony, Narasipatnam Railway Station Area, Santhi Nagar, Kothapeta, Sai Nagar, NGO Colony"
Rowthulapudi,East Godavari,"Rowthulapudi Main Bazar, Rowthulapudi RTC Bus Stand Area, Rowthulapudi Main Road, Revenue Colony, Rowthulapudi Police Station Road"
Thondangi,East Godavari,"Thondangi Main Bazar, Thondangi RTC Bus Stand Area, Santhi Nagar, Maruthi Nagar, NGO Colony, Bhavani Nagar, Thondangi Main Road, Sai Nagar, Revenue Colony"
Kadiyam,East Godavari,"Kadiyam Main Bazar, Kadiyam RTC Bus Stand Area, Santhi Nagar, Sai Nagar, NGO Colony, Bhavani Nagar"
Rayavaram,East Godavari,"Rayavaram Main Bazar, Rayavaram RTC Bus Stand Area, Sai Nagar, Maruthi Nagar, Bhavani Nagar, Kothapeta, Santhi Nagar"
Biccavolu,East Godavari,"Biccavolu Main Bazar, Biccavolu RTC Bus Stand Area, Kothapeta, Bhavani Nagar, Biccavolu Police Station Road, Revenue Colony, Biccavolu Main Road, Biccavolu Railway Station Area"
Anaparthy,East Godavari,"Anaparthy Main Bazar, Anaparthy RTC Bus Stand Area, Anaparthy Police Station Road, Anaparthy Main Road, Gandhi Nagar, Anaparthy Railway Station Area, Sai Nagar, Revenue Colony, Maruthi Nagar, NGO Colony, Santhi Nagar"
Pedapudi,East Godavari,"Pedapudi Main Bazar, Pedapudi RTC Bus Stand Area, Revenue Colony, Gandhi Nagar, Sai Nagar, Santhi Nagar, Pedapudi Main Road, Pedapudi Railway Station Area, Kothapeta"
Rangampeta,East Godavari,"Rangampeta Main Bazar, Rangampeta RTC Bus Stand Area, Gandhi Nagar, NGO Colony, Maruthi Nagar, Rangampeta Police Station Road"
Gandepalli,East Godavari,"Gandepalli Main Bazar, Gandepalli RTC Bus Stand Area, Maruthi Nagar, Bhavani Nagar, Santhi Nagar, Gandepalli Police Station Road, Sai Nagar, Gandepalli Railway Station Area"
Pithapuram,East Godavari,"Pithapuram Main Bazar, Pithapuram RTC Bus Stand Area, Pithapuram Police Station Road, NGO Colony, Kothapeta, Maruthi Nagar, Santhi Nagar, Bhavani Nagar, Gandhi Nagar"
Murari,East Godavari,"Murari Main Bazar, Murari RTC Bus Stand Area, NGO Colony, Kothapeta, Revenue Colony, Maruthi Nagar, Santhi Nagar, Murari Police Station Road, Bhavani Nagar"
Kadiyapulanka,East Godavari,"Kadiyapulanka Main Bazar, Kadiyapulanka RTC Bus Stand Area, NGO Colony, Gandhi Nagar, Santhi Nagar, Revenue Colony, Maruthi Nagar, Sai Nagar"
Draksharamam,East Godavari,"Draksharamam Main Bazar, Draksharamam RTC Bus Stand Area, Kothapeta, Bhavani Nagar, Revenue Colony, Maruthi Nagar, NGO Colony, Santhi Nagar"
Annavaram,East Godavari,"Annavaram Main Bazar, Annavaram RTC Bus Stand Area, Maruthi Nagar, NGO Colony, Bhavani Nagar, Annavaram Railway Station Area, Santhi Nagar, Sai Nagar"
Katrenikona,East Godavari,"Katrenikona Main Bazar, Katrenikona RTC Bus Stand Area, Katrenikona Railway Station Area, Santhi Nagar, NGO Colony, Bhavani Nagar, Katrenikona Police Station Road, Kothapeta, Gandhi Nagar, Revenue Colony, Katrenikona Main Road"
Gopalapuram,East Godavari,"Gopalapuram Main Bazar, Gopalapuram RTC Bus Stand Area, Kothapeta, Gopalapuram Railway Station Area, Revenue Colony, Sai Nagar, Santhi Nagar, Bhavani Nagar, Gandhi Nagar"
Eluru,Eluru,"Eluru Main Bazar, Eluru RTC Bus Stand Area, Eluru Police Station Road, Maruthi Nagar, Santhi Nagar, NGO Colony, Eluru Railway Station Area, Sai Nagar"
Jangareddygudem,Eluru,"Jangareddygudem Main Bazar, Jangareddygudem RTC Bus Stand Area, Maruthi Nagar, Santhi Nagar, Jangareddygudem Police Station Road, Bhavani Nagar, Revenue Colony, Jangareddygudem Railway Station Area, Gandhi Nagar, Kothapeta"
Denduluru,Eluru,"Denduluru Main Bazar, Denduluru RTC Bus Stand Area, Denduluru Police Station Road, Santhi Nagar, Bhavani Nagar, Kothapeta, Revenue Colony, Denduluru Main Road"
Pedapadu,Eluru,"Pedapadu Main Bazar, Pedapadu RTC Bus Stand Area, Revenue Colony, Bhavani Nagar, Pedapadu Main Road, Sai Nagar, Kothapeta, Gandhi Nagar"
Bhimgadole,Eluru,"Bhimgadole Main Bazar, Bhimgadole RTC Bus Stand Area, Bhimgadole Railway Station Area, NGO Colony, Sai Nagar, Gandhi Nagar, Maruthi Nagar, Kothapeta, Revenue Colony, Bhavani Nagar, Bhimgadole Main Road"
Unguturu,Eluru,"Unguturu Main Bazar, Unguturu RTC Bus Stand Area, Santhi Nagar, Gandhi Nagar, Revenue Colony, Kothapeta, Unguturu Railway Station Area, Bhavani Nagar"
Nidamarru,Eluru,"Nidamarru Main Bazar, Nidamarru RTC Bus Stand Area, Gandhi Nagar, Santhi Nagar, NGO Colony, Nidamarru Main Road, Nidamarru Police Station Road, Revenue Colony, Maruthi Nagar"
Ganapavaram,Eluru,"Ganapavaram Main Bazar, Ganapavaram RTC Bus Stand Area, Ganapavaram Main Road, Ganapavaram Police Station Road, Bhavani Nagar, Sai Nagar"
Tadepalligudem,Eluru,"Ganesh Nagar, Subbarao Pet, Karri Satyavathi Nagar, PT Colony, Venkatasubaya Colony, APHB Colony, Sepayi Peta, Yatham Vari"
Nallajerla,Eluru,"Nallajerla Main Bazar, Nallajerla RTC Bus Stand Area, Nallajerla Railway Station Area, Santhi Nagar, Bhavani Nagar, Nallajerla Police Station Road, Nallajerla Main Road, Sai Nagar, Kothapeta, Gandhi Nagar, NGO Colony"
Chintalapudi,Eluru,"Chintalapudi Main Bazar, Chintalapudi RTC Bus Stand Area, Revenue Colony, Bhavani Nagar, Santhi Nagar, Maruthi Nagar, Chintalapudi Railway Station Area, Chintalapudi Main Road"
Lingapalem,Eluru,"Lingapalem Main Bazar, Lingapalem RTC Bus Stand Area, Revenue Colony, Gandhi Nagar, Lingapalem Main Road, Kothapeta"
Kamavarapukota,Eluru,"Kamavarapukota Main Bazar, Kamavarapukota RTC Bus Stand Area, Kamavarapukota Main Road, Kothapeta, Santhi Nagar, Revenue Colony, Gandhi Nagar, Maruthi Nagar, Kamavarapukota Police Station Road"
Koyyalagudem,Eluru,"Koyyalagudem Main Bazar, Koyyalagudem RTC Bus Stand Area, Santhi Nagar, NGO Colony, Gandhi Nagar, Bhavani Nagar, Kothapeta, Revenue Colony"
Buttayagudem,Eluru,"Buttayagudem Main Bazar, Buttayagudem RTC Bus Stand Area, Buttayagudem Police Station Road, Sai Nagar, Buttayagudem Main Road, Buttayagudem Railway Station Area, Bhavani Nagar"
Jeelugumilli,Eluru,"Jeelugumilli Main Bazar, Jeelugumilli RTC Bus Stand Area, Revenue Colony, Jeelugumilli Railway Station Area, NGO Colony, Jeelugumilli Main Road, Santhi Nagar"
Polavaram,Eluru,"Polavaram Main Bazar, Polavaram RTC Bus Stand Area, NGO Colony, Bhavani Nagar, Santhi Nagar, Kothapeta, Polavaram Police Station Road, Polavaram Railway Station Area, Maruthi Nagar, Gandhi Nagar"
T Narasapuram,Eluru,"T Narasapuram Main Bazar, T Narasapuram RTC Bus Stand Area, Bhavani Nagar, Revenue Colony, Kothapeta, Sai Nagar, Gandhi Nagar, NGO Colony, Maruthi Nagar"
Kukunoor,Eluru,"Kukunoor Main Bazar, Kukunoor RTC Bus Stand Area, Santhi Nagar, Kukunoor Main Road, NGO Colony, Sai Nagar, Maruthi Nagar, Gandhi Nagar, Kukunoor Police Station Road"
Velairpadu,Eluru,"Velairpadu Main Bazar, Velairpadu RTC Bus Stand Area, NGO Colony, Santhi Nagar, Sai Nagar, Velairpadu Police Station Road, Kothapeta, Bhavani Nagar, Maruthi Nagar, Gandhi Nagar"
Dwaraka Tirumala,Eluru,"Dwaraka Tirumala Main Bazar, Dwaraka Tirumala RTC Bus Stand Area, Kothapeta, Revenue Colony, Dwaraka Tirumala Main Road, Dwaraka Tirumala Police Station Road, Gandhi Nagar, Bhavani Nagar, Dwaraka Tirumala Railway Station Area, Santhi Nagar, Sai Nagar"
Pedavegi,Eluru,"Pedavegi Main Bazar, Pedavegi RTC Bus Stand Area, Santhi Nagar, Bhavani Nagar, NGO Colony, Pedavegi Main Road, Sai Nagar, Pedavegi Railway Station Area, Kothapeta"
Kaikaluru,Eluru,"Kaikaluru Main Bazar, Kaikaluru RTC Bus Stand Area, Bhavani Nagar, Maruthi Nagar, Sai Nagar, Kaikaluru Railway Station Area, Kothapeta, Revenue Colony, Gandhi Nagar"
Mudinepalli,Eluru,"Mudinepalli Main Bazar, Mudinepalli RTC Bus Stand Area, Sai Nagar, NGO Colony, Kothapeta, Mudinepalli Police Station Road, Revenue Colony, Mudinepalli Railway Station Area, Bhavani Nagar"
Mandavalli,Eluru,"Mandavalli Main Bazar, Mandavalli RTC Bus Stand Area, Sai Nagar, NGO Colony, Mandavalli Police Station Road, Maruthi Nagar, Santhi Nagar, Kothapeta, Gandhi Nagar"
Kalidindi,Eluru,"Kalidindi Main Bazar, Kalidindi RTC Bus Stand Area, Kalidindi Police Station Road, Kalidindi Main Road, Sai Nagar, Maruthi Nagar, Kalidindi Railway Station Area, Kothapeta, NGO Colony, Bhavani Nagar"
Bhimadole,Eluru,"Bhimadole Main Bazar, Bhimadole RTC Bus Stand Area, Kothapeta, Bhimadole Railway Station Area, Sai Nagar, Revenue Colony, Bhimadole Police Station Road, Bhimadole Main Road, NGO Colony"
Gopalapuram,Eluru,"Gopalapuram Main Bazar, Gopalapuram RTC Bus Stand Area, Kothapeta, Gopalapuram Railway Station Area, Revenue Colony, Sai Nagar, Santhi Nagar, Bhavani Nagar, Gandhi Nagar"
Guntur,Guntur,"Brodipet, Arundelpet, Lakshmipuram, Syamala Nagar, Vidyanagar, Pattabhipuram, Navabharath Nagar, Koretapadu, Gorantla, Nallapadu, Pedapalakaluru, Ankireddypalem, Etukuru, Budampadu, Chowdavaram, Inner Ring Road"
